c	[analysis] Simple analytic mechanisms
cl	[analysis] Simple analytic mechanisms
interp	[analysis] Simple analytic mechanisms
interpGrp	[analysis] Simple analytic mechanisms
m	[analysis] Simple analytic mechanisms
pc	[analysis] Simple analytic mechanisms
phr	[analysis] Simple analytic mechanisms
s	[analysis] Simple analytic mechanisms
span	[analysis] Simple analytic mechanisms
spanGrp	[analysis] Simple analytic mechanisms
w	[analysis] Simple analytic mechanisms
certainty	[certainty] Certainty and uncertainty
precision	[certainty] Certainty and uncertainty
respons	[certainty] Certainty and uncertainty
abbr	[core] Elements common to all TEI documents
add	[core] Elements common to all TEI documents
addrLine	[core] Elements common to all TEI documents
address	[core] Elements common to all TEI documents
analytic	[core] Elements common to all TEI documents
author	[core] Elements common to all TEI documents
bibl	[core] Elements common to all TEI documents
biblScope	[core] Elements common to all TEI documents
biblStruct	[core] Elements common to all TEI documents
binaryObject	[core] Elements common to all TEI documents
cb	[core] Elements common to all TEI documents
choice	[core] Elements common to all TEI documents
cit	[core] Elements common to all TEI documents
citedRange	[core] Elements common to all TEI documents
corr	[core] Elements common to all TEI documents
date	[core] Elements common to all TEI documents
del	[core] Elements common to all TEI documents
desc	[core] Elements common to all TEI documents
distinct	[core] Elements common to all TEI documents
divGen	[core] Elements common to all TEI documents
editor	[core] Elements common to all TEI documents
email	[core] Elements common to all TEI documents
emph	[core] Elements common to all TEI documents
expan	[core] Elements common to all TEI documents
foreign	[core] Elements common to all TEI documents
gap	[core] Elements common to all TEI documents
gb	[core] Elements common to all TEI documents
gloss	[core] Elements common to all TEI documents
graphic	[core] Elements common to all TEI documents
head	[core] Elements common to all TEI documents
headItem	[core] Elements common to all TEI documents
headLabel	[core] Elements common to all TEI documents
hi	[core] Elements common to all TEI documents
imprint	[core] Elements common to all TEI documents
index	[core] Elements common to all TEI documents
item	[core] Elements common to all TEI documents
l	[core] Elements common to all TEI documents
label	[core] Elements common to all TEI documents
lb	[core] Elements common to all TEI documents
lg	[core] Elements common to all TEI documents
list	[core] Elements common to all TEI documents
listBibl	[core] Elements common to all TEI documents
measure	[core] Elements common to all TEI documents
measureGrp	[core] Elements common to all TEI documents
media	[core] Elements common to all TEI documents
meeting	[core] Elements common to all TEI documents
mentioned	[core] Elements common to all TEI documents
milestone	[core] Elements common to all TEI documents
monogr	[core] Elements common to all TEI documents
name	[core] Elements common to all TEI documents
note	[core] Elements common to all TEI documents
num	[core] Elements common to all TEI documents
orig	[core] Elements common to all TEI documents
p	[core] Elements common to all TEI documents
pb	[core] Elements common to all TEI documents
postBox	[core] Elements common to all TEI documents
postCode	[core] Elements common to all TEI documents
ptr	[core] Elements common to all TEI documents
pubPlace	[core] Elements common to all TEI documents
publisher	[core] Elements common to all TEI documents
q	[core] Elements common to all TEI documents
quote	[core] Elements common to all TEI documents
ref	[core] Elements common to all TEI documents
reg	[core] Elements common to all TEI documents
relatedItem	[core] Elements common to all TEI documents
resp	[core] Elements common to all TEI documents
respStmt	[core] Elements common to all TEI documents
rs	[core] Elements common to all TEI documents
said	[core] Elements common to all TEI documents
series	[core] Elements common to all TEI documents
sic	[core] Elements common to all TEI documents
soCalled	[core] Elements common to all TEI documents
sp	[core] Elements common to all TEI documents
speaker	[core] Elements common to all TEI documents
stage	[core] Elements common to all TEI documents
street	[core] Elements common to all TEI documents
